date,lake,funct,mgO2_day
2020-06-19,HOL,NEPsd,0.06922474441316202
2020-06-20,HOL,GPP,0.09193458079202912
2020-06-20,HOL,R,0.05289650278939081
2020-06-20,HOL,NEP,0.14483108358141994
2020-06-20,HOL,GPP2,0.09193458079202912
2020-06-20,HOL,R2,-0.05289650278939081
2020-06-20,HOL,NEP2,0.14483108358141994
2020-06-20,HOL,NEP3,0.03903807800263832
2020-06-20,HOL,GPPsd,0.01543914116496295
2020-06-20,HOL,Rsd,0.01483283502760778
2020-06-20,HOL,NEPsd,0.02140981258367018
2020-06-21,HOL,GPP,-0.11744034301285644
2020-06-21,HOL,R,0.07301196631397261
2020-06-21,HOL,NEP,-0.04442837669888383
2020-06-21,HOL,GPP2,0.11744034301285644
2020-06-21,HOL,R2,-0.07301196631397261
2020-06-21,HOL,NEP2,-0.04442837669888383
2020-06-21,HOL,NEP3,0.04442837669888383
2020-06-21,HOL,GPPsd,0.03905357694251733
2020-06-21,HOL,Rsd,0.03728832772980575
2020-06-21,HOL,NEPsd,0.05399630780794667
2020-06-22,HOL,GPP,0.31445072004472835
2020-06-22,HOL,R,-0.20683312743290677
2020-06-22,HOL,NEP,0.10761759261182158
2020-06-22,HOL,GPP2,0.31445072004472835
2020-06-22,HOL,R2,-0.20683312743290677
2020-06-22,HOL,NEP2,0.10761759261182158
2020-06-22,HOL,NEP3,0.10761759261182158
2020-06-22,HOL,GPPsd,0.03002492112022436
2020-06-22,HOL,Rsd,0.02829251636351433
2020-06-22,HOL,NEPsd,0.04125484662988606
2020-06-24,HOL,GPP,0.628982357674077
2020-06-24,HOL,R,-0.39691504393888277
2020-06-24,HOL,NEP,0.23206731373519415
2020-06-24,HOL,GPP2,0.628982357674077
2020-06-24,HOL,R2,-0.39691504393888277
2020-06-24,HOL,NEP2,0.23206731373519415
2020-06-24,HOL,NEP3,0.23206731373519415
2020-06-24,HOL,GPPsd,0.06048364721258655
2020-06-24,HOL,Rsd,0.05650889738845155
2020-06-24,HOL,NEPsd,0.08277395160432523
2020-06-25,HOL,GPP,0.4969639825335134
