date,lake,funct,model,mgO2_day
8/22/20,MCD,GPP2,book,0.05032263
8/22/20,MCD,R2,bayes,-0.235926928
8/22/20,MCD,R2,book,-0.156017843
8/22/20,MCD,NEP2,bayes,0.184540301
8/22/20,MCD,NEP2,book,-0.105695212
8/22/20,MCD,NEP3,bayes,-0.184540301
8/22/20,MCD,NEP3,book,-0.105695212
8/22/20,MCD,GPPsd,bayes,0.019934063
8/22/20,MCD,Rsd,bayes,0.019635313
8/22/20,MCD,NEPsd,bayes,0.027980572
8/23/20,MCD,GPP,bayes,0.16059176
8/23/20,MCD,GPP,book,0.393942718
8/23/20,MCD,R,bayes,-0.186581739
8/23/20,MCD,R,book,-0.293627883
8/23/20,MCD,NEP,bayes,-0.025989979
8/23/20,MCD,NEP,book,-0.022184173
8/23/20,MCD,GPP2,bayes,0.16059176
8/23/20,MCD,GPP2,book,0.393942718
8/23/20,MCD,R2,bayes,-0.186581739
8/23/20,MCD,R2,book,-0.293627883
8/23/20,MCD,NEP2,bayes,-0.025989979
8/23/20,MCD,NEP2,book,0.100314835
8/23/20,MCD,NEP3,bayes,-0.025989979
8/23/20,MCD,NEP3,book,0.100314835
8/23/20,MCD,GPPsd,bayes,0.040509031
8/23/20,MCD,Rsd,bayes,0.040359669
8/23/20,MCD,NEPsd,bayes,0.057182904
8/24/20,MCD,GPP,bayes,0.123043014
8/24/20,MCD,GPP,book,-0.002370062
8/24/20,MCD,R,bayes,0.068608594
8/24/20,MCD,R,book,0.144655936
8/24/20,MCD,NEP,bayes,0.191651607
8/24/20,MCD,NEP,book,0.205998838
8/24/20,MCD,GPP2,bayes,0.123043014
8/24/20,MCD,GPP2,book,0.002370062
8/24/20,MCD,R2,bayes,-0.068608594
8/24/20,MCD,R2,book,-0.144655936
8/24/20,MCD,NEP2,bayes,0.191651607
8/24/20,MCD,NEP2,book,-0.142285874
8/24/20,MCD,NEP3,bayes,0.05443442
8/24/20,MCD,NEP3,book,-0.142285874
8/24/20,MCD,GPPsd,bayes,0.029756394
8/24/20,MCD,Rsd,bayes,0.028793636
8/24/20,MCD,NEPsd,bayes,0.04140672
8/25/20,MCD,GPP,bayes,0.110955864
8/25/20,MCD,GPP,book,0.28176178
8/25/20,MCD,R,bayes,-0.104171263
8/25/20,MCD,R,book,-0.192918984
8/25/20,MCD,NEP,bayes,0.006784601
8/25/20,MCD,NEP,book,0.005820879
8/25/20,MCD,GPP2,bayes,0.110955864
8/25/20,MCD,GPP2,book,0.28176178
8/25/20,MCD,R2,bayes,-0.104171263
8/25/20,MCD,R2,book,-0.192918984
8/25/20,MCD,NEP2,bayes,0.006784601
8/25/20,MCD,NEP2,book,0.088842796
8/25/20,MCD,NEP3,bayes,0.006784601
8/25/20,MCD,NEP3,book,0.088842796
8/25/20,MCD,GPPsd,bayes,0.012728786
8/25/20,MCD,Rsd,bayes,0.012774955
8/25/20,MCD,NEPsd,bayes,0.018033898
8/26/20,MCD,GPP,bayes,0.292686975
8/26/20,MCD,GPP,book,0.641447291
8/26/20,MCD,R,bayes,-0.154505301
8/26/20,MCD,R,book,-0.37653519
8/26/20,MCD,NEP,bayes,0.138181674
8/26/20,MCD,NEP,book,0.103511615
8/26/20,MCD,GPP2,bayes,0.292686975
8/26/20,MCD,GPP2,book,0.641447291
8/26/20,MCD,R2,bayes,-0.154505301
8/26/20,MCD,R2,book,-0.37653519
8/26/20,MCD,NEP2,bayes,0.138181674
8/26/20,MCD,NEP2,book,0.264912102
8/26/20,MCD,NEP3,bayes,0.138181674
8/26/20,MCD,NEP3,book,0.264912102
8/26/20,MCD,GPPsd,bayes,0.032655853
8/26/20,MCD,Rsd,bayes,0.032379135
8/26/20,MCD,NEPsd,bayes,0.045987097
8/27/20,MCD,GPP,bayes,-0.015351845
8/27/20,MCD,GPP,book,0.164910517
8/27/20,MCD,R,bayes,0.079748832
8/27/20,MCD,R,book,-0.069387878
8/27/20,MCD,NEP,bayes,0.064396988
8/27/20,MCD,NEP,book,0.066106374
8/27/20,MCD,GPP2,bayes,0.015351845
8/27/20,MCD,GPP2,book,0.164910517
8/27/20,MCD,R2,bayes,-0.079748832
8/27/20,MCD,R2,book,-0.069387878
8/27/20,MCD,NEP2,bayes,0.064396988
8/27/20,MCD,NEP2,book,0.095522638
8/27/20,MCD,NEP3,bayes,-0.064396988
8/27/20,MCD,NEP3,book,0.095522638
8/27/20,MCD,GPPsd,bayes,0.025035269
8/27/20,MCD,Rsd,bayes,0.024064896
8/27/20,MCD,NEPsd,bayes,0.03472584
8/28/20,MCD,GPP,bayes,-0.027755431
8/28/20,MCD,GPP,book,0.198293127
8/28/20,MCD,R,bayes,0.101892209
8/28/20,MCD,R,book,-0.08584115
8/28/20,MCD,NEP,bayes,0.074136778
8/28/20,MCD,NEP,book,0.076020513
8/28/20,MCD,GPP2,bayes,0.027755431
8/28/20,MCD,GPP2,book,0.198293127
8/28/20,MCD,R2,bayes,-0.101892209
8/28/20,MCD,R2,book,-0.08584115
8/28/20,MCD,NEP2,bayes,0.074136778
8/28/20,MCD,NEP2,book,0.112451977
8/28/20,MCD,NEP3,bayes,-0.074136778
8/28/20,MCD,NEP3,book,0.112451977
8/28/20,MCD,GPPsd,bayes,0.020334754
8/28/20,MCD,Rsd,bayes,0.019760448
8/28/20,MCD,NEPsd,bayes,0.028354497
8/29/20,MCD,GPP,bayes,0.272005752
8/29/20,MCD,GPP,book,0.970411195
8/29/20,MCD,R,bayes,-0.035803552
8/29/20,MCD,R,book,-0.522446655
8/29/20,MCD,NEP,bayes,0.236202201
8/29/20,MCD,NEP,book,0.224581826
8/29/20,MCD,GPP2,bayes,0.272005752
8/29/20,MCD,GPP2,book,0.970411195
