datetime,lake,depth,temp
2020-06-26T15:30:00Z,UPH,2,8.182
2020-06-26T15:30:00Z,UPH,4,5.655
2020-06-26T15:30:00Z,UPH,8,3.893
2020-06-26T15:30:00Z,UPH,1,10.242
2020-06-26T16:00:00Z,UPH,0,12.98
2020-06-26T16:00:00Z,UPH,2,9.669
2020-06-26T16:00:00Z,UPH,4,5.552
2020-06-26T16:00:00Z,UPH,8,3.893
2020-06-26T16:00:00Z,UPH,1,10.451
2020-06-26T16:30:00Z,UPH,0,12.98
2020-06-26T16:30:00Z,UPH,2,9.866
2020-06-26T16:30:00Z,UPH,4,5.962
2020-06-26T16:30:00Z,UPH,8,3.893
2020-06-26T16:30:00Z,UPH,1,10.623
2020-06-26T17:00:00Z,UPH,0,12.787
2020-06-26T17:00:00Z,UPH,2,9.176
2020-06-26T17:00:00Z,UPH,4,5.962
2020-06-26T17:00:00Z,UPH,8,3.998
2020-06-26T17:00:00Z,UPH,1,10.768
2020-06-26T17:30:00Z,UPH,0,12.69
2020-06-26T17:30:00Z,UPH,2,9.571
2020-06-26T17:30:00Z,UPH,4,5.86
2020-06-26T17:30:00Z,UPH,8,4.102
2020-06-26T17:30:00Z,UPH,1,10.596
2020-06-26T18:00:00Z,UPH,0,12.69
2020-06-26T18:00:00Z,UPH,2,8.779
2020-06-26T18:00:00Z,UPH,4,6.166
2020-06-26T18:00:00Z,UPH,8,4.102
2020-06-26T18:00:00Z,UPH,1,10.723
2020-06-26T18:30:00Z,UPH,0,11.528
2020-06-26T18:30:00Z,UPH,2,8.382
2020-06-26T18:30:00Z,UPH,4,5.655
2020-06-26T18:30:00Z,UPH,8,3.893
2020-06-26T18:30:00Z,UPH,1,10.515
2020-06-26T19:00:00Z,UPH,0,11.528
2020-06-26T19:00:00Z,UPH,2,7.381
2020-06-26T19:00:00Z,UPH,4,5.757
2020-06-26T19:00:00Z,UPH,8,3.998
2020-06-26T19:00:00Z,UPH,1,10.324
2020-06-26T19:30:00Z,UPH,0,12.69
2020-06-26T19:30:00Z,UPH,2,7.179
2020-06-26T19:30:00Z,UPH,4,5.552
2020-06-26T19:30:00Z,UPH,8,3.998
2020-06-26T19:30:00Z,UPH,1,10.451
2020-06-26T20:00:00Z,UPH,0,12.594
2020-06-26T20:00:00Z,UPH,2,7.28
2020-06-26T20:00:00Z,UPH,4,5.757
2020-06-26T20:00:00Z,UPH,8,3.998
2020-06-26T20:00:00Z,UPH,1,10.233
2020-06-26T20:30:00Z,UPH,0,11.916
2020-06-26T20:30:00Z,UPH,2,7.381
2020-06-26T20:30:00Z,UPH,4,5.757
2020-06-26T20:30:00Z,UPH,8,4.102
2020-06-26T20:30:00Z,UPH,1,10.16
2020-06-26T21:00:00Z,UPH,0,11.722
2020-06-26T21:00:00Z,UPH,2,7.079
2020-06-26T21:00:00Z,UPH,4,5.757
2020-06-26T21:00:00Z,UPH,8,3.998
2020-06-26T21:00:00Z,UPH,1,10.958
