datetime,lake,depth_m,temp_C
2020-07-28T15:30:00Z,MCD,2,18.616
2020-07-28T15:30:00Z,MCD,4,14.996
2020-07-28T15:30:00Z,MCD,6,14.038
2020-07-28T15:30:00Z,MCD,8,13.365
2020-07-28T15:30:00Z,MCD,1,18.222
2020-07-28T16:00:00Z,MCD,10,11.819
2020-07-28T16:00:00Z,MCD,12,8.68
2020-07-28T16:00:00Z,MCD,2,18.616
2020-07-28T16:00:00Z,MCD,4,14.996
2020-07-28T16:00:00Z,MCD,6,13.942
2020-07-28T16:00:00Z,MCD,8,13.269
2020-07-28T16:00:00Z,MCD,1,18.306
2020-07-28T16:30:00Z,MCD,10,11.722
2020-07-28T16:30:00Z,MCD,12,8.481
2020-07-28T16:30:00Z,MCD,2,18.616
2020-07-28T16:30:00Z,MCD,4,15.091
2020-07-28T16:30:00Z,MCD,6,13.942
2020-07-28T16:30:00Z,MCD,8,13.269
2020-07-28T16:30:00Z,MCD,1,18.323
2020-07-28T17:00:00Z,MCD,10,11.431
2020-07-28T17:00:00Z,MCD,12,8.182
2020-07-28T17:00:00Z,MCD,2,18.711
2020-07-28T17:00:00Z,MCD,4,15.091
2020-07-28T17:00:00Z,MCD,6,13.942
2020-07-28T17:00:00Z,MCD,8,13.269
2020-07-28T17:00:00Z,MCD,1,18.332
2020-07-28T17:30:00Z,MCD,10,11.334
2020-07-28T17:30:00Z,MCD,12,8.282
2020-07-28T17:30:00Z,MCD,2,18.331
2020-07-28T17:30:00Z,MCD,4,14.996
2020-07-28T17:30:00Z,MCD,6,13.942
2020-07-28T17:30:00Z,MCD,8,13.269
2020-07-28T17:30:00Z,MCD,1,18.374
2020-07-28T18:00:00Z,MCD,10,11.334
2020-07-28T18:00:00Z,MCD,12,8.182
2020-07-28T18:00:00Z,MCD,2,18.045
2020-07-28T18:00:00Z,MCD,4,14.9
2020-07-28T18:00:00Z,MCD,6,13.942
2020-07-28T18:00:00Z,MCD,8,13.173
2020-07-28T18:00:00Z,MCD,1,18.348
2020-07-28T18:30:00Z,MCD,10,11.139
2020-07-28T18:30:00Z,MCD,12,8.182
2020-07-28T18:30:00Z,MCD,2,18.045
2020-07-28T18:30:00Z,MCD,4,14.9
2020-07-28T18:30:00Z,MCD,6,13.942
2020-07-28T18:30:00Z,MCD,8,13.269
2020-07-28T18:30:00Z,MCD,1,18.802
2020-07-28T19:00:00Z,MCD,10,10.651
2020-07-28T19:00:00Z,MCD,12,8.182
2020-07-28T19:00:00Z,MCD,2,17.665
2020-07-28T19:00:00Z,MCD,4,14.996
2020-07-28T19:00:00Z,MCD,6,14.038
2020-07-28T19:00:00Z,MCD,8,13.365
2020-07-28T19:00:00Z,MCD,1,18.323
2020-07-28T19:30:00Z,MCD,10,10.944
2020-07-28T19:30:00Z,MCD,12,8.182
2020-07-28T19:30:00Z,MCD,2,18.045
2020-07-28T19:30:00Z,MCD,4,15.091
2020-07-28T19:30:00Z,MCD,6,14.23
2020-07-28T19:30:00Z,MCD,8,13.173
2020-07-28T19:30:00Z,MCD,1,18.172
2020-07-28T20:00:00Z,MCD,10,11.625
2020-07-28T20:00:00Z,MCD,12,8.182
2020-07-28T20:00:00Z,MCD,2,17.95
2020-07-28T20:00:00Z,MCD,4,15.091
2020-07-28T20:00:00Z,MCD,6,14.23
2020-07-28T20:00:00Z,MCD,8,13.173
2020-07-28T20:00:00Z,MCD,1,18.222
2020-07-28T20:30:00Z,MCD,10,10.748
2020-07-28T20:30:00Z,MCD,12,8.182
2020-07-28T20:30:00Z,MCD,2,18.14
2020-07-28T20:30:00Z,MCD,4,15.091
2020-07-28T20:30:00Z,MCD,6,14.134
2020-07-28T20:30:00Z,MCD,8,13.173
2020-07-28T20:30:00Z,MCD,1,18.726
2020-07-28T21:00:00Z,MCD,10,10.748
2020-07-28T21:00:00Z,MCD,12,8.182
2020-07-28T21:00:00Z,MCD,2,18.331
2020-07-28T21:00:00Z,MCD,4,14.996
2020-07-28T21:00:00Z,MCD,6,14.134
2020-07-28T21:00:00Z,MCD,8,13.173
2020-07-28T21:00:00Z,MCD,1,18.869
2020-07-28T21:30:00Z,MCD,10,10.651
2020-07-28T21:30:00Z,MCD,12,8.282
2020-07-28T21:30:00Z,MCD,2,17.665
2020-07-28T21:30:00Z,MCD,4,14.996
2020-07-28T21:30:00Z,MCD,6,14.134
2020-07-28T21:30:00Z,MCD,8,13.269
2020-07-28T21:30:00Z,MCD,1,18.945
2020-07-28T22:00:00Z,MCD,10,10.455
2020-07-28T22:00:00Z,MCD,12,8.282
2020-07-28T22:00:00Z,MCD,2,18.045
2020-07-28T22:00:00Z,MCD,4,15.091
2020-07-28T22:00:00Z,MCD,6,14.325
2020-07-28T22:00:00Z,MCD,8,13.269
2020-07-28T22:00:00Z,MCD,1,18.961
2020-07-28T22:30:00Z,MCD,10,10.455
2020-07-28T22:30:00Z,MCD,12,8.082
2020-07-28T22:30:00Z,MCD,2,18.14
2020-07-28T22:30:00Z,MCD,4,15.187
2020-07-28T22:30:00Z,MCD,6,14.325
2020-07-28T22:30:00Z,MCD,8,12.883
2020-07-28T22:30:00Z,MCD,1,18.34
2020-07-28T23:00:00Z,MCD,10,10.455
2020-07-28T23:00:00Z,MCD,12,8.082
2020-07-28T23:00:00Z,MCD,2,18.14
2020-07-28T23:00:00Z,MCD,4,15.282
2020-07-28T23:00:00Z,MCD,6,14.23
2020-07-28T23:00:00Z,MCD,8,12.883
2020-07-28T23:00:00Z,MCD,1,18.281
2020-07-28T23:30:00Z,MCD,10,10.553
2020-07-28T23:30:00Z,MCD,12,8.082
2020-07-28T23:30:00Z,MCD,2,18.331
2020-07-28T23:30:00Z,MCD,4,15.378
2020-07-28T23:30:00Z,MCD,6,14.23
2020-07-28T23:30:00Z,MCD,8,12.787
2020-07-28T23:30:00Z,MCD,1,18.609
2020-07-29T00:00:00Z,MCD,10,10.357
2020-07-29T00:00:00Z,MCD,12,8.082
2020-07-29T00:00:00Z,MCD,2,18.521
2020-07-29T00:00:00Z,MCD,4,15.569
2020-07-29T00:00:00Z,MCD,6,14.134
2020-07-29T00:00:00Z,MCD,8,12.787
2020-07-29T00:00:00Z,MCD,1,19.054
2020-07-29T00:30:00Z,MCD,10,9.472
2020-07-29T00:30:00Z,MCD,12,8.082
2020-07-29T00:30:00Z,MCD,2,18.236
2020-07-29T00:30:00Z,MCD,4,15.187
2020-07-29T00:30:00Z,MCD,6,14.23
2020-07-29T00:30:00Z,MCD,8,12.69
2020-07-29T00:30:00Z,MCD,1,18.39
2020-07-29T01:00:00Z,MCD,10,9.965
2020-07-29T01:00:00Z,MCD,12,8.082
2020-07-29T01:00:00Z,MCD,2,18.331
2020-07-29T01:00:00Z,MCD,4,15.378
2020-07-29T01:00:00Z,MCD,6,14.23
2020-07-29T01:00:00Z,MCD,8,12.883
2020-07-29T01:00:00Z,MCD,1,18.609
2020-07-29T01:30:00Z,MCD,10,9.965
2020-07-29T01:30:00Z,MCD,12,8.082
2020-07-29T01:30:00Z,MCD,2,18.14
2020-07-29T01:30:00Z,MCD,4,15.378
2020-07-29T01:30:00Z,MCD,6,14.038
2020-07-29T01:30:00Z,MCD,8,12.98
2020-07-29T01:30:00Z,MCD,1,18.903
2020-07-29T02:00:00Z,MCD,10,10.063
2020-07-29T02:00:00Z,MCD,12,8.182
2020-07-29T02:00:00Z,MCD,2,18.14
2020-07-29T02:00:00Z,MCD,4,15.569
2020-07-29T02:00:00Z,MCD,6,13.846
2020-07-29T02:00:00Z,MCD,8,13.173
2020-07-29T02:00:00Z,MCD,1,18.928
2020-07-29T02:30:00Z,MCD,10,9.965
2020-07-29T02:30:00Z,MCD,12,8.182
2020-07-29T02:30:00Z,MCD,2,18.616
2020-07-29T02:30:00Z,MCD,4,15.378
2020-07-29T02:30:00Z,MCD,6,14.038
2020-07-29T02:30:00Z,MCD,8,13.173
2020-07-29T02:30:00Z,MCD,1,18.911
2020-07-29T03:00:00Z,MCD,10,10.455
2020-07-29T03:00:00Z,MCD,12,8.382
2020-07-29T03:00:00Z,MCD,2,18.616
2020-07-29T03:00:00Z,MCD,4,15.187
2020-07-29T03:00:00Z,MCD,6,13.75
2020-07-29T03:00:00Z,MCD,8,12.98
2020-07-29T03:00:00Z,MCD,1,18.794
2020-07-29T03:30:00Z,MCD,10,10.748
2020-07-29T03:30:00Z,MCD,12,8.481
2020-07-29T03:30:00Z,MCD,2,18.806
2020-07-29T03:30:00Z,MCD,4,15.378
2020-07-29T03:30:00Z,MCD,6,13.75
2020-07-29T03:30:00Z,MCD,8,12.69
2020-07-29T03:30:00Z,MCD,1,18.794
2020-07-29T04:00:00Z,MCD,10,10.651
2020-07-29T04:00:00Z,MCD,12,8.581
2020-07-29T04:00:00Z,MCD,2,18.806
2020-07-29T04:00:00Z,MCD,4,15.091
2020-07-29T04:00:00Z,MCD,6,13.846
2020-07-29T04:00:00Z,MCD,8,12.787
2020-07-29T04:00:00Z,MCD,1,18.743
2020-07-29T04:30:00Z,MCD,10,10.357
2020-07-29T04:30:00Z,MCD,12,8.779
2020-07-29T04:30:00Z,MCD,2,18.806
2020-07-29T04:30:00Z,MCD,4,14.996
2020-07-29T04:30:00Z,MCD,6,13.942
2020-07-29T04:30:00Z,MCD,8,12.787
2020-07-29T04:30:00Z,MCD,1,18.626
2020-07-29T05:00:00Z,MCD,10,10.553
2020-07-29T05:00:00Z,MCD,12,8.581
2020-07-29T05:00:00Z,MCD,2,18.806
2020-07-29T05:00:00Z,MCD,4,15.187
